,Var1_1,Var1_2,X_real,X_img,y_real,y_img
4398,-7.901888e-05+9.641447e-05i,-5.500821e-05-0.0001379149i,-7.901888,,-5.500821,-0.0001379149
4501,-0.004724479+9.574089e-05i,-0.004665285-0.0004199556i,-0.004724479,,-0.004665285,-0.0004199556
4811,-0.006680986-3.993697e-05i,-0.006763655-0.001071583i,-0.006680986,,-0.006763655,-0.001071583
4812,-0.005485765+7.905485e-05i,-0.005516296-0.0009247905i,-0.005485765,,-0.005516296,-0.0009247905
4853,0.008972594-7.924013e-05i,0.009123843+0.0003154828i,0.008972594,,0.009123843,0.0003154828
4854,0.007815784-4.458171e-05i,0.00797297+0.0006235256i,0.007815784,,0.00797297,0.0006235256
4868,0.002705843+8.501764e-05i,0.00265186+0.0004904148i,0.002705843,,0.00265186,0.0004904148
4873,0.004035321-5.310704e-05i,0.003877136+0.0004897907i,0.004035321,,0.003877136,0.0004897907
4999,0.003990678+7.897092e-05i,0.003812846+0.0004623103i,0.003990678,,0.003812846,0.0004623103
5072,0.008883912-9.111653e-06i,0.009073072+0.0004873931i,0.008883912,,0.009073072,0.0004873931
5483,-0.001443247-5.071785e-05i,-0.001597665-0.0002610915i,-0.001443247,,-0.001597665,-0.0002610915
5528,-0.004527333+8.966029e-05i,-0.004472788-0.0006856186i,-0.004527333,,-0.004472788,-0.0006856186
5554,-0.006769604+7.63351e-05i,-0.007206857-0.0007576132i,-0.006769604,,-0.007206857,-0.0007576132
5574,8.569646e-05+4.935055e-05i,0.0001141567-0.0003284087i,8.569646,,0.0001141567,-0.0003284087
5607,-0.01103261+7.422233e-05i,-0.01095447+0.0002944083i,-0.01103261,,-0.01095447,0.0002944083
5622,0.007286627-2.860604e-05i,0.007372644+0.0009217377i,0.007286627,,0.007372644,0.0009217377
5736,0.007111471-7.524714e-05i,0.007206158+0.0006829473i,0.007111471,,0.007206158,0.0006829473
5757,0.001006797+5.499902e-05i,0.0008389287+0.0005260052i,0.001006797,,0.0008389287,0.0005260052
5801,0.003798125+5.648262e-05i,0.003562137+0.0008236666i,0.003798125,,0.003562137,0.0008236666
5895,-0.006800255-5.112588e-05i,-0.006975614-0.0008901634i,-0.006800255,,-0.006975614,-0.0008901634
5994,-0.004397568-9.408873e-05i,-0.003935319-0.0007039371i,-0.004397568,,-0.003935319,-0.0007039371
5999,-0.005376728+2.756156e-05i,-0.005635269-0.0007506846i,-0.005376728,,-0.005635269,-0.0007506846
6047,0.002806448+8.381336e-05i,0.002575096+0.000417922i,0.002806448,,0.002575096,0.000417922
6209,-0.002431461+1.392807e-05i,-0.002577047-0.0004875334i,-0.002431461,,-0.002577047,-0.0004875334
6377,-0.005481194-9.502773e-05i,-0.005596729-0.0009659833i,-0.005481194,,-0.005596729,-0.0009659833
6481,-0.001756292+6.386661e-05i,-0.001840161+0.0001415265i,-0.001756292,,-0.001840161,0.0001415265
6568,0.01034769+7.686438e-05i,0.01072827+7.074828e-05i,0.01034769,,0.01072827,
6585,0.0124916-6.727246e-05i,0.0123561-0.000454861i,0.0124916,,0.0123561,-0.000454861
6596,-0.005952922+8.196407e-05i,-0.005937462-0.0009365576i,-0.005952922,,-0.005937462,-0.0009365576
6621,-0.007340071+3.293407e-05i,-0.007673624-0.0008491693i,-0.007340071,,-0.007673624,-0.0008491693
6729,0.004858959+8.772826e-05i,0.004749739+0.0007310974i,0.004858959,,0.004749739,0.0007310974
6799,0.009821493+4.360266e-05i,0.009752916+0.0003775421i,0.009821493,,0.009752916,0.0003775421
6804,0.007969626-7.804949e-05i,0.00804917+0.0007528868i,0.007969626,,0.00804917,0.0007528868
6987,0.009930275+6.154273e-05i,0.0100784-2.877486e-05i,0.009930275,,0.0100784,
7018,0.001073297-4.280522e-05i,0.0009455465+0.0001883577i,0.001073297,,0.0009455465,0.0001883577
7030,0.008398599-1.451466e-05i,0.008561811+0.0008232272i,0.008398599,,0.008561811,0.0008232272
7039,-0.008602561-3.903802e-05i,-0.008617345-0.0006585342i,-0.008602561,,-0.008617345,-0.0006585342
7153,-0.007762903-8.762791e-05i,-0.007693591-0.0009723789i,-0.007762903,,-0.007693591,-0.0009723789
7162,0.01280595-3.24056e-05i,0.01234426-0.0008618921i,0.01280595,,0.01234426,-0.0008618921
7233,0.004706477-1.874834e-05i,0.004747891+0.0008388641i,0.004706477,,0.004747891,0.0008388641
7274,0.006295297+3.830227e-05i,0.006242351+0.0009056753i,0.006295297,,0.006242351,0.0009056753
7455,-0.004155357+2.176827e-05i,-0.003991333-0.0009377939i,-0.004155357,,-0.003991333,-0.0009377939
7526,-0.01487484+7.440941e-05i,-0.01429844+0.00103051i,-0.01487484,,-0.01429844,0.00103051
7644,-0.003077094+7.559778e-05i,-0.003088265-0.0004658147i,-0.003077094,,-0.003088265,-0.0004658147
7678,-0.004474272-1.583342e-05i,-0.004675895-0.0007768521i,-0.004474272,,-0.004675895,-0.0007768521
7712,-0.002869036+9.022863e-05i,-0.002996391-0.0003701961i,-0.002869036,,-0.002996391,-0.0003701961
7726,-0.00604+1.069589e-05i,-0.005876439-0.0009220708i,-0.00604,,-0.005876439,-0.0009220708
7798,0.007347672-2.294028e-05i,0.007465165+0.0006062177i,0.007347672,,0.007465165,0.0006062177
7938,-0.003738857-1.205923e-05i,-0.00415465-0.0006886926i,-0.003738857,,-0.00415465,-0.0006886926
8111,-0.00662223-7.232116e-05i,-0.006902029-0.0008762823i,-0.00662223,,-0.006902029,-0.0008762823
8180,0.007360044+8.224219e-05i,0.007321732+0.001093284i,0.007360044,,0.007321732,0.001093284
8354,0.01235199+5.533849e-05i,0.01235898-0.0002516308i,0.01235199,,0.01235898,-0.0002516308
8433,-0.008132858+1.629296e-05i,-0.008302673-0.0006343435i,-0.008132858,,-0.008302673,-0.0006343435
8582,0.008451141+1.937151e-05i,0.008798997+0.0007579505i,0.008451141,,0.008798997,0.0007579505
8592,0.006147111-4.780339e-05i,0.006171361+0.0008172672i,0.006147111,,0.006171361,0.0008172672
8761,6.358919e-05+8.270261e-06i,0.0001647011+2.892557e-06i,6.358919,,0.0001647011,
8801,-0.006377667-4.708942e-05i,-0.006536164-0.001057049i,-0.006377667,,-0.006536164,-0.001057049
9069,-0.007713339+6.090989e-05i,-0.007997978-0.0009145467i,-0.007713339,,-0.007997978,-0.0009145467
9070,-0.004854405-3.698422e-05i,-0.004994464-0.001071045i,-0.004854405,,-0.004994464,-0.001071045
9130,0.007999049-8.756737e-05i,0.008179734+0.0005529604i,0.007999049,,0.008179734,0.0005529604
9155,-0.0152055-6.409059e-05i,-0.01448474+0.0008222854i,-0.0152055,,-0.01448474,0.0008222854
9184,-0.003935019-3.923581e-05i,-0.004243918-0.0007157i,-0.003935019,,-0.004243918,-0.0007157
9272,0.01024837+9.247346e-05i,0.010271+0.0003478186i,0.01024837,,0.010271,0.0003478186
9409,0.002223194-4.061591e-05i,0.002126507+0.0003256275i,0.002223194,,0.002126507,0.0003256275
9593,0.005384803+1.490884e-05i,0.005595075+0.0006255704i,0.005384803,,0.005595075,0.0006255704
9727,0.002160467+9.087333e-05i,0.002134506+8.265557e-05i,0.002160467,,0.002134506,
9840,-0.0003240317-7.212127e-05i,-0.000389473+0.0001981806i,-0.0003240317,,-0.000389473,0.0001981806
9856,-0.01058366+1.973976e-05i,-0.0108779-0.0001197879i,-0.01058366,,-0.0108779,-0.0001197879
9891,0.01478005-1.335843e-05i,0.01405082-0.0007918249i,0.01478005,,0.01405082,-0.0007918249
10035,0.0007355923-5.616029e-05i,0.0005104493+0.0001848984i,0.0007355923,,0.0005104493,0.0001848984
10131,-0.002901237+5.957112e-05i,-0.002956991-0.0003718297i,-0.002901237,,-0.002956991,-0.0003718297
10166,0.009663897-5.129725e-06i,0.01000941+5.817201e-05i,0.009663897,,0.01000941,
10214,-0.007007929+1.981924e-05i,-0.00751003-0.0007891929i,-0.007007929,,-0.00751003,-0.0007891929
10274,-0.00344205+9.376789e-06i,-0.003523408-0.0006992682i,-0.00344205,,-0.003523408,-0.0006992682
10365,-0.007213872+7.864903e-05i,-0.007364218-0.0007139856i,-0.007213872,,-0.007364218,-0.0007139856
10520,0.007874999-9.493018e-05i,0.008153591+0.0004336846i,0.007874999,,0.008153591,0.0004336846
10530,-0.007560405-3.287289e-05i,-0.007844698-0.0006831425i,-0.007560405,,-0.007844698,-0.0006831425
10630,2.107598e-05-3.744359e-05i,0.0001739247-0.0001527228i,2.107598,,0.0001739247,-0.0001527228
10865,0.003044298-4.779064e-05i,0.002851811+0.0002601401i,0.003044298,,0.002851811,0.0002601401
10902,0.008785839-2.546562e-05i,0.008748792+0.0006479259i,0.008785839,,0.008748792,0.0006479259
10914,0.00143091-8.389819e-05i,0.001703893+9.767635e-05i,0.00143091,,0.001703893,
11009,0.004870107+1.245714e-05i,0.004658262+0.0007475325i,0.004870107,,0.004658262,0.0007475325
11076,0.00381743-7.812795e-05i,0.003724964+0.0004034775i,0.00381743,,0.003724964,0.0004034775
11118,0.001169897+7.201126e-05i,0.001037659+6.544421e-05i,0.001169897,,0.001037659,
11123,-0.004613671+9.001198e-05i,-0.00460028-0.0005158429i,-0.004613671,,-0.00460028,-0.0005158429
11167,-0.002183969+3.937352e-05i,-0.002173081-0.000144755i,-0.002183969,,-0.002173081,-0.000144755
11304,0.00183874-8.232356e-05i,0.001717346+0.0001028502i,0.00183874,,0.001717346,0.0001028502
11460,-0.009514531-8.331146e-06i,-0.009411543-0.0005982422i,-0.009514531,,-0.009411543,-0.0005982422
11559,-0.001850875+1.501665e-05i,-0.00200423-0.0003634841i,-0.001850875,,-0.00200423,-0.0003634841
11754,0.01062256+5.784677e-05i,0.01065714-1.409062e-05i,0.01062256,,0.01065714,
11805,-0.004653577-8.427305e-05i,-0.004904879-0.0004894363i,-0.004653577,,-0.004904879,-0.0004894363
11810,-0.007912807-3.771414e-05i,-0.007983008-0.000837424i,-0.007912807,,-0.007983008,-0.000837424
11820,0.0009177383+6.515067e-06i,0.0009495071-0.0001868499i,0.0009177383,,0.0009495071,-0.0001868499
11822,0.005838091-2.09912e-05i,0.006069284+0.000508434i,0.005838091,,0.006069284,0.000508434
11890,-0.003112959-8.857367e-05i,-0.003185228-0.000497351i,-0.003112959,,-0.003185228,-0.000497351
11894,-0.001432447-2.870974e-05i,-0.001343168-0.0002944122i,-0.001432447,,-0.001343168,-0.0002944122
11897,-0.004556746+9.719608e-05i,-0.004539954-0.0005008091i,-0.004556746,,-0.004539954,-0.0005008091
11922,-0.002181809+5.957345e-05i,-0.001908291-0.0006021521i,-0.002181809,,-0.001908291,-0.0006021521
12212,-0.002752778-9.244366e-05i,-0.00290607-0.0004900498i,-0.002752778,,-0.00290607,-0.0004900498
12254,0.006254454-5.538133e-05i,0.006689786+0.0005713938i,0.006254454,,0.006689786,0.0005713938
12319,0.004494037+5.200028e-05i,0.004341143+0.0005425674i,0.004494037,,0.004341143,0.0005425674
12333,-0.0003024047+5.151087e-05i,-0.0003372323-0.0002065105i,-0.0003024047,,-0.0003372323,-0.0002065105
12336,-0.003800657-2.500275e-05i,-0.00370245-0.0006151534i,-0.003800657,,-0.00370245,-0.0006151534
12343,-0.01377829-6.309227e-05i,-0.01338102+0.0006667019i,-0.01377829,,-0.01338102,0.0006667019
12424,0.003037871+1.320289e-05i,0.003222813+0.0005890529i,0.003037871,,0.003222813,0.0005890529
12426,-0.002243929+2.148421e-05i,-0.002215883-3.000366e-05i,-0.002243929,,-0.002215883,
12432,-0.009745142-2.325606e-05i,-0.00988014-0.000376834i,-0.009745142,,-0.00988014,-0.000376834
12494,-0.01077664+6.221468e-06i,-0.0108717+9.052384e-05i,-0.01077664,,-0.0108717,
12509,-0.01364157-8.091843e-05i,-0.01339593+0.0008082982i,-0.01364157,,-0.01339593,0.0008082982
12665,-0.002560237-5.574373e-05i,-0.002542081-0.0005969546i,-0.002560237,,-0.002542081,-0.0005969546
12742,0.002097046-7.996149e-05i,0.002039059+0.0001324156i,0.002097046,,0.002039059,0.0001324156
12890,0.002742057+5.355407e-05i,0.002897378+0.0004775527i,0.002742057,,0.002897378,0.0004775527
12974,0.0004143486-2.588332e-05i,0.0004700259+3.450529e-05i,0.0004143486,,0.0004700259,
13208,-0.003639058-1.662958e-05i,-0.003767454-0.0005949459i,-0.003639058,,-0.003767454,-0.0005949459
13312,-0.0009629172-9.636837e-05i,-0.0005748869-0.0001189138i,-0.0009629172,,-0.0005748869,-0.0001189138
13357,0.0004171329-4.063407e-05i,0.0007025674-0.000303617i,0.0004171329,,0.0007025674,-0.000303617
13383,-0.003072641-5.371671e-05i,-0.003225779-0.0006075581i,-0.003072641,,-0.003225779,-0.0006075581
13398,0.002652294-7.416867e-05i,0.002561864+0.0002134627i,0.002652294,,0.002561864,0.0002134627
13436,0.01248864-3.199885e-05i,0.01229444-0.0009949926i,0.01248864,,0.01229444,-0.0009949926
13693,0.00102151-6.244332e-05i,0.001169981+0.000234814i,0.00102151,,0.001169981,0.000234814
13807,-0.001893592+9.763101e-05i,-0.002168973-0.0002438556i,-0.001893592,,-0.002168973,-0.0002438556
13987,0.000965694+2.584327e-05i,0.0008426296+0.000404542i,0.000965694,,0.0008426296,0.000404542
14051,0.0002760971+2.95639e-05i,0.0005256546+7.600204e-06i,0.0002760971,,0.0005256546,
14101,0.00370365-6.558211e-05i,0.003902569+0.0001685507i,0.00370365,,0.003902569,0.0001685507
14253,-0.007200115+4.83389e-05i,-0.007434186-0.0007299833i,-0.007200115,,-0.007434186,-0.0007299833
14292,0.001635623+3.885152e-05i,0.001939816+6.580249e-05i,0.001635623,,0.001939816,
14353,0.00563058-8.196197e-05i,0.005617298+0.0004027843i,0.00563058,,0.005617298,0.0004027843
14409,0.0001312455-9.069173e-05i,0.0005200142-9.696412e-05i,0.0001312455,,0.0005200142,
14526,0.005577339-4.3354e-05i,0.005692991+0.0006831385i,0.005577339,,0.005692991,0.0006831385
14566,-7.124711e-05+3.542798e-05i,0.0001482865+0.0002931127i,-7.124711,,0.0001482865,0.0002931127
14741,-0.007601389+9.079301e-05i,-0.008037578-0.0005307657i,-0.007601389,,-0.008037578,-0.0005307657
14871,-0.01640181+1.289183e-06i,-0.01584801+0.001122154i,-0.01640181,,-0.01584801,0.001122154
14890,0.009137613+2.958113e-06i,0.009356998+0.0003462239i,0.009137613,,0.009356998,0.0003462239
14946,-0.006227042-6.747362e-05i,-0.006520453-0.0006902603i,-0.006227042,,-0.006520453,-0.0006902603
15018,-0.005217723+8.565979e-05i,-0.004919584-0.0006570406i,-0.005217723,,-0.004919584,-0.0006570406
15118,0.001252955+9.602774e-05i,0.001424787+2.118207e-05i,0.001252955,,0.001424787,
15181,-0.002176957+5.989335e-05i,-0.002312278-1.666623e-06i,-0.002176957,,-0.002312278,
15283,-0.008748629+2.543209e-05i,-0.008925719-0.00085776i,-0.008748629,,-0.008925719,-0.00085776
15358,-0.01111809-2.070912e-05i,-0.01114219+0.0002778392i,-0.01111809,,-0.01114219,0.0002778392
15407,-0.00412917-7.719884e-05i,-0.003892738-0.0004296174i,-0.00412917,,-0.003892738,-0.0004296174
15473,-0.006744096+7.61156e-05i,-0.006550895-0.0007863721i,-0.006744096,,-0.006550895,-0.0007863721
15494,0.00115865+7.072836e-05i,0.0009008485+0.0001588083i,0.00115865,,0.0009008485,0.0001588083
15523,0.0009504883+7.465703e-05i,0.001021106+0.0001785153i,0.0009504883,,0.001021106,0.0001785153
15712,8.411054e-05-9.6987e-05i,2.818606e-05-0.0001523937i,8.411054,,2.818606,-0.0001523937
15815,0.007406168-6.971648e-06i,0.007419122+0.0007832568i,0.007406168,,0.007419122,0.0007832568
15909,-0.002495728-7.947767e-05i,-0.00269005-0.0004529035i,-0.002495728,,-0.00269005,-0.0004529035
15968,0.007247023+6.301142e-05i,0.007210523+0.0009581094i,0.007247023,,0.007210523,0.0009581094
15972,0.003275987-8.484148e-05i,0.003180014+0.0004801722i,0.003275987,,0.003180014,0.0004801722
16011,-0.008166112+8.584512e-05i,-0.008228978-0.0007338222i,-0.008166112,,-0.008228978,-0.0007338222
16019,-0.003944546+2.862327e-05i,-0.004205352-0.0006713012i,-0.003944546,,-0.004205352,-0.0006713012
16115,-0.002524822-8.377619e-05i,-0.002313101-0.0005335108i,-0.002524822,,-0.002313101,-0.0005335108
16260,-0.003059172-2.989033e-05i,-0.003181383-0.0009230071i,-0.003059172,,-0.003181383,-0.0009230071
16272,-0.00574132-1.191732e-05i,-0.006143089-0.0008003846i,-0.00574132,,-0.006143089,-0.0008003846
16274,-0.001017157+4.190253e-06i,-0.001124829-0.0003777375i,-0.001017157,,-0.001124829,-0.0003777375
16335,0.001023346+1.811702e-05i,0.001202454+0.0003197237i,0.001023346,,0.001202454,0.0003197237
16381,0.003531126-8.103857e-05i,0.003529414+0.0002346665i,0.003531126,,0.003529414,0.0002346665
